Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
7, 8192, 1, 8, 512, 1.47279, 1.39938, N/A, 0.0486491, 0.0487564, 4.35112, 0.0204543, 8, 1, 1, 1, 8, 1, 2.68682, 2, 2, 0.5, 1, 1, 1, 45.6086, 
7, 8192, 1, 8, 32, 0.549915, 0.493261, N/A, 0.000798236, 0.000713289, 0.513496, 0.00112319, 2, 2, 0.0625, 2, 8, 1, 76.08, 2, 2, 0.5, 1, 1, 1, 45.6086, 
45, 8192, 1, 8, 32, 0.297041, 0.264201, N/A, 0.00973383, 0.0100697, 14.2924, 0.0471152, 2, 2, 0.0625, 2, 8, 1, 75.7683, 2, 2, 0.5, 1, 1, 1, 43.0472, 
7, 8192, 1, 1, 32, 0.538279, 0.493261, N/A, 0.000571394, 0.000490225, 0.444467, 0.000797561, 2, 2, 0.5, 16, 1, 1, 76.2882, 2, 2, 1, 1, 2, 1, 69.4103, 
45, 8192, 1, 1, 32, 0.29079, 0.264201, N/A, 0.00680878, 0.00696266, 12.3389, 0.0331097, 2, 2, 0.5, 16, 1, 1, 75.9801, 2, 2, 1, 1, 2, 1, 68.7344, 
45, 1048576, 1, 2, 512, 4.8793, 7.5632, N/A, 1.21701, 91.0918, 1.85054, 3.28613, 8, 8, 4, 1, 1, 2, 17.6962, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1048576, 1, 2, 512, 4.8793, 7.5632, N/A, 1.21701, 91.0918, 1.85054, 3.28613, 8, 8, 4, 1, 1, 2, 17.6962, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1048576, 1, 2, 512, 4.8793, 7.5632, N/A, 1.21701, 91.0918, 1.85054, 3.28613, 8, 8, 4, 1, 1, 2, 17.6962, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1048576, 1, 2, 512, 5.908, 8.94135, N/A, 0.868943, 152.585, 0.0469467, 2.32638, 16, 16, 4, 1, 1, 2, 4.92876, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1048576, 1, 2, 32, 5.83101, 7.93698, N/A, 0.21024, 57.9541, 0.0222942, 0.848368, 32, 32, 8, 1, 16, 2, 13.5156, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1048576, 1, 2, 32, 4.82264, 6.66262, N/A, 0.171322, 25.9545, 0.599864, 1.50226, 8, 32, 4, 1, 16, 2, 38.7096, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 1048576, 1, 2, 32, 3.25289, 4.60216, N/A, 0.0918233, 13.8174, 0.366459, 0.764366, 8, 32, 4, 1, 16, 2, 38.7184, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 1048576, 1, 2, 32, 3.25289, 4.60216, N/A, 0.0918233, 13.8174, 0.366459, 0.764366, 8, 32, 4, 1, 16, 2, 38.7184, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1048576, 1, 2, 32, 4.82264, 6.66262, N/A, 0.171322, 25.9545, 0.599864, 1.50226, 8, 32, 4, 1, 16, 2, 38.7096, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 1073741824, 1, 2, 32, 33.3428, 46.8625, N/A, 1.42701, 88.8717, 3332.88, 806.222, 64, 256, 64, 1, 16, 2, 73.86, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 134217728, 1, 2, 32, 15.6264, 22.3905, N/A, 0.64353, 45.4675, 218.282, 115.206, 32, 128, 32, 1, 16, 2, 64.6097, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 134217728, 1, 2, 32, 12.4001, 17.8252, N/A, 0.35566, 24.3826, 126.008, 58.6493, 32, 128, 32, 1, 16, 2, 64.5901, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
7, 33554432, 1, 16, 32, 10.787, 3.93593, N/A, 0.163956, 0.177975, 2292.17, 10.4682, 32, 32, 2, 4, 16, 1, 87.7918, 64, 128, 8, 1, 8, 1, 54.1202, 
7, 33554432, 16, 16, 32, 9.21245, 3.93593, N/A, 0.142575, 0.151328, 150.041, 10.3578, 8, 8, 0.5, 4, 16, 1, 86.5369, 16, 16, 2, 1, 4, 1, 59.82, 
7, 33554432, 16, 16, 32, 9.21245, 3.93593, N/A, 0.142575, 0.151328, 150.041, 10.3578, 8, 8, 0.5, 4, 16, 1, 86.5369, 16, 16, 2, 1, 4, 1, 59.82, 
7, 33554432, 16, 16, 32, 9.21245, 3.93593, N/A, 0.142575, 0.151328, 150.041, 10.3578, 8, 8, 0.5, 4, 16, 1, 86.5369, 16, 16, 2, 1, 4, 1, 59.82, 
7, 33554432, 16, 16, 32, 10.8834, 0.510921, N/A, 0.161438, 0.175781, 197.335, 15.2629, 32, 64, 0.25, 1, 16, 1, 65.9339, 16, 16, 2, 1, 4, 1, 59.82, 
7, 33554432, 16, 16, 32, 14.7829, 3.47648, N/A, 0.554867, 0.577086, 272.029, 36.7594, 8, 16, 0.25, 4, 16, 1, 80.8176, 16, 32, 2, 1, 4, 1, 48.1539, 
7, 1048576, 1, 16, 32, 2.43254, 1.24934, N/A, 0.00864815, 0.0093183, 55.0255, 0.10477, 8, 8, 0.25, 2, 16, 1, 82.3571, 4, 16, 1, 1, 2, 1, 62.8016, 
7, 1048576, 1, 16, 32, 2.83213, 1.62349, N/A, 0.0185775, 0.0287098, 64.4063, 0.216936, 8, 8, 0.25, 2, 16, 1, 80.8296, 8, 8, 1, 1, 2, 1, 64.0629, 
7, 1048576, 1, 16, 32, 3.3958, 3.36601, N/A, 0.0334632, 0.0470168, 73.9048, 0.444959, 4, 16, 0.25, 4, 16, 1, 79.6679, 16, 8, 2, 1, 4, 1, 52.8552, 
7, 1048576, 1, 16, 32, 4.2453, 2.13559, N/A, 0.07572, 0.099925, 113.335, 0.841807, 8, 16, 0.25, 2, 16, 1, 75.6004, 16, 16, 1, 1, 2, 1, 49.4717, 
7, 1048576, 1, 16, 32, 2.43254, 1.24934, N/A, 0.00864815, 0.0093183, 55.0255, 0.10477, 8, 8, 0.25, 2, 16, 1, 82.3571, 4, 16, 1, 1, 2, 1, 62.8016, 
7, 419430, 1, 16, 32, 1.78823, 1.10525, N/A, 0.00638087, 0.0088238, 22.1057, 0.0530002, 4, 8, 0.125, 2, 16, 1, 79.9013, 4, 4, 1, 1, 2, 1, 70.3999, 
40, 1048576, 1, 16, 32, 1.28412, 0.555, N/A, 0.0833872, 0.122818, 1208.79, 3.43527, 8, 8, 0.25, 2, 16, 1, 81.543, 4, 8, 1, 1, 2, 1, 69.6493, 
40, 1048576, 1, 16, 32, 1.78367, 0.872923, N/A, 0.245451, 0.399365, 1729.06, 11.6048, 8, 8, 0.25, 2, 16, 1, 82.8332, 8, 8, 1, 1, 2, 1, 64.9818, 
40, 1048576, 1, 16, 32, 1.50166, 1.33537, N/A, 0.182284, 0.189224, 1390.86, 6.80054, 4, 8, 0.25, 4, 16, 1, 84.5251, 4, 16, 1, 1, 2, 1, 58.0348, 
40, 1048576, 1, 16, 32, 1.50166, 1.33537, N/A, 0.182284, 0.189224, 1390.86, 6.80054, 4, 8, 0.25, 4, 16, 1, 84.5251, 4, 16, 1, 1, 2, 1, 58.0348, 
20, 1048576, 1, 16, 32, 0.861736, 0.727153, N/A, 0.0594237, 0.0771206, 419.889, 1.82082, 4, 16, 0.25, 4, 16, 1, 80.0081, 8, 16, 1, 1, 2, 1, 54.6592, 
7, 1048576, 1, 16, 32, 2.83213, 1.62349, N/A, 0.0185775, 0.0287098, 64.4063, 0.216936, 8, 8, 0.25, 2, 16, 1, 80.8296, 8, 8, 1, 1, 2, 1, 64.0629, 
32, 1048576, 1, 16, 32, 1.25159, 0.616441, N/A, 0.123668, 0.208529, 984.423, 4.54794, 8, 8, 0.25, 2, 16, 1, 80.6971, 8, 8, 1, 1, 2, 1, 63.1271, 
22, 1048576, 1, 16, 32, 0.922925, 0.771477, N/A, 0.0656206, 0.0851793, 450.038, 2.20255, 4, 16, 0.25, 4, 16, 1, 80.0194, 8, 16, 1, 1, 2, 1, 54.799, 
7, 1048576, 1, 16, 32, 2.83213, 1.62349, N/A, 0.0185775, 0.0287098, 64.4063, 0.216936, 8, 8, 0.25, 2, 16, 1, 80.8296, 8, 8, 1, 1, 2, 1, 64.0629, 
